用途,推奨ツール,理由,備考
商品写真,Seedream,リアルな質感・細部が重要,ECサイト・カタログに最適
キャラクターイラスト,Nanobanana,表現力・個性が必要,ゲーム・創作活動に
風景写真,Seedream,写実的な表現,プレゼン背景・観光資料に
コンセプトアート,Nanobanana,スタイル性・芸術性,企画・ブランディングに
プレゼン背景,Seedream,プロフェッショナル・落ち着き,ビジネス用途に最適
SNSビジュアル,Nanobanana,目を引く・印象的,Instagram・Twitter投稿に
ブランドイメージ,Nanobanana,個性・世界観表現,ロゴ・CI/VIに
不動産写真,Seedream,正確な情報伝達,物件紹介・リスティングに
料理写真（写実的）,Seedream,食欲をそそるリアルさ,レストラン・レシピサイトに
料理写真（イラスト風）,Nanobanana,かわいい・親しみやすい,カフェ・カジュアル飲食店に
人物ポートレート,Seedream,プロフェッショナル,プロフィール・名刺に
アニメキャラクター,Nanobanana,アニメスタイル表現,漫画・アニメ制作に
企業サイトヘッダー,Seedream,信頼感・プロフェッショナル,コーポレートサイトに
音楽イベントポスター,Nanobanana,エネルギッシュ・印象的,ライブ・フェス告知に
教育教材（写実的）,Seedream,正確な情報,理科・技術教材に
教育教材（イラスト風）,Nanobanana,親しみやすい,子供向け・絵本に
インテリア写真,Seedream,リアルな空間表現,不動産・インテリアデザインに
ファッションイラスト,Nanobanana,スタイリッシュ,ファッション雑誌・ブランドに
都市風景,Seedream,写実的な描写,観光・街紹介に
ファンタジー世界観,Nanobanana,幻想的・創造的,ゲーム・小説の挿絵に
